SMILES,cmpd_id,binary_occ,cont_occ,low_gsh_prob,med_gsh_prob,high_gsh_prob,selectivity
O=S(=O)(N[C@H](CC(F)(F)F)c1ccc(F)cc1)c1ccccc1F,cmpd_15,1.857209086418152,0.5536149144172668,0.08557998,0.86811302,0.04630701,0.2440627333831217
Cn1cc(/C=C/C(=O)c2cccc(F)c2)c(=O)n(C)c1=O,cmpd_16,2.583636283874512,0.5155326724052429,0.1884962,0.61961403,0.19188979,0.1876026885735623
Cc1nc([N+](=O)[O-])cn1CC(=O)Nc1ccccc1Cl,cmpd_17,2.488471508026123,0.5490532517433167,0.22693383,0.55317806,0.21988811,0.0061239731142643
C[C@@H](C(=O)Nc1cccc2ncccc12)[NH+]1CCC(C[NH+](C)C)CC1,cmpd_18,1.27043354511261,0.5101369023323059,0.1606598,0.71539793,0.12394227,0.0026885735623599
CC(C)[C@@H](CNc1ncc(C(N)=O)cc1Cl)N1CC[NH+](C)CC1,cmpd_19,0.7584710121154785,0.5086604356765747,0.18616613,0.55310611,0.26072777,0.2572068707991038
O=C1c2cccc3cccc(c23)N1C[NH+]1CCCCC1,cmpd_20,4.319835662841797,0.533170759677887,0.14268858,0.60951653,0.24779486,0.2431665421956684
N#Cc1cc(NC(=O)C(=O)N2CCC[C@H]2Cc2ccccc2)ccc1F,cmpd_21,1.1943552494049072,0.5138004422187805,0.12035132,0.72709646,0.15255221,0.230470500373413
Cc1cccc(N2N=C(C(=O)NCc3ccccc3)CCC2=O)c1,cmpd_22,0.8766367435455322,0.5005471110343933,0.20958062,0.56656544,0.22385393,0.1263629574309186
CC(C)C[C@@]1([C@H]2CCC[C@H](S(C)(=O)=O)C2)CCC[NH2+]1,cmpd_23,1.9814550876617432,0.526965856552124,0.21310058,0.60095027,0.18594916,0.3938760268857356
CNC(=O)CNc1nc2cc(Br)ccc2s1,cmpd_24,4.670872211456299,0.5586725473403931,0.25014734,0.58717541,0.16267724,0.3366691560866318
CCC[C@H](C(=O)Nc1ccc(OC)nc1)c1ccccc1,cmpd_25,0.0616188012063503,0.5051282644271851,0.23465164,0.63268421,0.13266416,0.3905899925317401
CCOC(=O)c1c(-c2ccc(Cl)cc2)csc1NCC(=O)N1CCc2ccccc2C1,cmpd_26,2.0590620040893555,0.5455384850502014,0.26839409,0.69483247,0.03677346,0.2954443614637789
Nc1ccc(C(=O)OCC(=O)N2CCC(Cc3ccccc3)CC2)cc1[N+](=O)[O-],cmpd_27,3.7824413776397705,0.5629428029060364,0.09683539,0.86498829,0.03817631,0.237042569081404
CN(C)[C@H]1CCC[NH+](C[C@@H]2CCC(C)(C)[C@H]2O)C1,cmpd_28,1.100179672241211,0.5351967811584473,0.24967231,0.5856955,0.1646322,0.3245705750560119
Cc1ccccc1Cn1c([C@H]2CC(=O)N(C)C2)nc2ccccc21,cmpd_29,1.4861605167388916,0.5480847954750061,0.16562118,0.63155981,0.20281899,0.250336071695295
Cc1csc(N2CCN(C(=O)Nc3ccc(Br)c(C)c3)CC2)n1,cmpd_30,4.319835662841797,0.533170759677887,0.14268858,0.60951653,0.24779486,0.2431665421956684
CCOC(=O)[C@H]1CCCN(c2ncnc(Nc3cccc(Cl)c3)c2N)C1,cmpd_31,1.2308506965637207,0.5082136988639832,0.25327592,0.6154744,0.13124968,0.2364451082897684
CSc1ccc(C(=O)Nc2nnc(CC(C)C)s2)cn1,cmpd_32,0.9866600036621094,0.5023903846740723,0.16912346,0.73626018,0.09461635,0.3554891710231516
